Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2010,"Dale Mollenhauer","CHW","AA",24,101,343,388,0.26239067,90,1,33,0.563636363,4.872021880733818,0.45666667,0.174825174,1.247619047,2,"sa390184"
2012,"Denny Almonte","SEA","AA",23,124,434,500,0.248847926,108,12,50,0.385185185,6.1838010800708965,0.46579805,0.15282392,1.090163934,3,"sa390314"
2010,"Matthew Spencer","CHC","AA",24,112,377,420,0.267904509,101,17,62,0.406976744,5.543316921392332,0.48813559,0.180887372,0.777777777,4,"sa390327"
2009,"Travis Jones","ATL","AA",23,121,365,435,0.249315068,91,5,41,0.54347826,4.889281724823718,0.49822064,0.210332103,1.377777777,9,"sa390615"
2009,"Evan Frey","ARI","AA",23,134,507,578,0.266272189,135,1,62,0.743589743,6.250612833178918,0.42791762,0.23095238,1.737288135,7,"sa390638"
2010,"Evan Frey","ARI","AA",24,131,517,600,0.286266924,148,1,87,0.752808988,6.607897393151138,0.39816934,0.192941176,1.61832061,8,"sa390638"
2012,"Evan Frey","ARI","AA",26,95,360,415,0.255555555,92,0,47,1,6.414617311766637,0.36217949,0.196721311,2.181818181,2,"sa390638"
2012,"Kentrail Davis","MIL","AA",24,122,438,498,0.273972602,120,7,55,0.446280991,6.337152840701233,0.371875,0.153354632,1.65,3,"sa390671"
2014,"Kentrail Davis","MIL","AA",26,108,359,433,0.245125348,88,2,53,0.786666666,5.169800262450458,0.35153584,0.169064748,1.333333333,4,"sa390671"
2011,"Alfredo Silverio","LAD","AA",24,132,533,572,0.305816135,163,16,90,0.329670329,6.406905949405895,0.49777778,0.211363636,0.971590909,1,"sa392355"
2012,"Omar Luna","TBR","AA",25,122,470,515,0.314893617,148,3,63,0.904761904,5.234085298274223,0.41491841,0.173076923,2.739130434,4,"sa392852"
2009,"C.J. Retherford","CHW","AA",23,128,478,526,0.297071129,142,10,70,0.428571428,4.0858576396203246,0.5,0.215686274,0.893491124,5,"sa393409"
2015,"Kenny Wilson","MIA","AA",25,130,497,570,0.269617706,134,8,77,0.537037037,7.461457164842252,0.43609023,0.191709844,1.496,4,"sa454437"
2011,"Kyle Russell","LAD","AA",25,120,394,447,0.258883248,102,19,61,0.3125,5.548916060666122,0.40079365,0.184738955,0.598425196,6,"sa454496"
2012,"Ty Morrison","TBR","AA",21,102,405,458,0.269135802,109,3,56,0.397727272,7.3214440405143675,0.36923077,0.143322475,2.329113924,10,"sa454513"
2012,"Michael Sheridan","TBR","AA",24,129,464,511,0.245689655,114,10,61,0.550724637,3.8975658503003316,0.41791045,0.175572519,1.037735849,1,"sa454543"
2011,"Alden Carrithers","CHW","AA",26,102,359,423,0.284122562,102,0,49,1.64516129,6.515457703681168,0.35988201,0.20743034,1.509803921,2,"sa454577"
2016,"Bengie Gonzalez","SEA","AA",26,129,502,569,0.270916334,136,5,78,0.686746987,6.064130104676795,0.46386946,0.190930787,1.456521739,1,"sa454764"
2012,"Paul Gran","MIA","AA",26,114,368,439,0.239130434,88,5,49,0.424528301,5.446735055636275,0.42379182,0.136882129,0.816,19,"sa454768"
2011,"Rebel Ridling","CHC","AA",25,125,433,485,0.309468822,134,20,79,0.483146067,3.4917680532006172,0.46571429,0.181556195,0.958620689,3,"sa454798"
2011,"Cody Puckett","CIN","AA",24,96,339,380,0.24778761,84,15,51,0.35,4.6807616624819985,0.5245283,0.145038167,0.523809523,7,"sa454975"
2013,"Dan Brewer","ATL","AA",25,119,344,394,0.264534883,91,3,51,0.724137931,6.844668556922235,0.45733788,0.20289855,1.784810126,0,"sa454991"
2011,"Jake Shaffer","SEA","AA",23,120,442,485,0.287330316,127,11,57,0.361445783,5.3215877132108425,0.45405405,0.1966759,1.871287128,2,"sa455231"
2010,"Ollie Linton","ARI","AA",24,125,398,483,0.3040201,121,3,60,0.63,5.860013918550967,0.41042345,0.199324324,1.724137931,11,"sa455265"
2011,"Ollie Linton","ARI","AA",25,107,334,399,0.284431137,95,3,53,0.532467532,6.567572366174115,0.37037037,0.163424124,1.529411764,11,"sa455265"
2010,"Tyler Kuhn","CHW","AA",23,109,384,435,0.278645833,107,5,52,0.48,5.4009516574221275,0.35625,0.184210526,1.55670103,4,"sa455308"
2011,"Tyler Kuhn","CHW","AA",24,107,414,470,0.342995169,142,1,60,0.6,6.7614870394219615,0.37119114,0.198275862,1.305785123,6,"sa455308"
2013,"Justin Greene","ARI","AA",27,117,380,430,0.307894736,117,1,75,0.567567567,8.308160901053949,0.44871795,0.162251655,1.456310679,2,"sa455434"
2011,"Brandon Short","CHW","AA",22,130,526,581,0.262357414,138,13,74,0.29032258,6.228691999427034,0.49019608,0.184538653,1.194630872,10,"sa455526"
2015,"Emerson Landoni","ATL","AA",26,118,411,443,0.296836982,122,1,53,0.558139534,4.255295026510785,0.32707775,0.208333333,2.75,3,"sa455907"
2013,"Gabriel Noriega","SEA","AA",22,104,371,402,0.25606469,95,2,35,0.194444444,5.4854399363273565,0.33440514,0.18936877,2.012345679,1,"sa455932"
2010,"Donell Linares","ATL","AA",26,109,417,447,0.239808153,100,11,48,0.341463414,3.3767378381335176,0.51706037,0.176470588,0.833333333,10,"sa496271"
2011,"Donell Linares","ATL","AA",27,114,412,464,0.279126213,115,7,48,0.837209302,2.6869746839359516,0.46666667,0.181571815,1.04054054,9,"sa496271"
2011,"Rich Poythress","SEA","AA",23,122,450,511,0.266666666,120,11,50,0.609756097,2.9415794093363115,0.43010753,0.181318681,1.27480916,7,"sa500800"
